base_score,booster,colsample_bylevel,colsample_bytree,eta,eval_metric,gamma,learning_rate,max_delta_step,max_depth,min_child_weight,missing,n_estimators,nthread,objective,reg_alpha,reg_lambda,scale_pos_weight,seed,silent,subsample,verbosity,pca_components,model,auc
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,5,1,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8775629417943722
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,5,2,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8782636167770439
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,5,4,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8771095430694661
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,5,6,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8778575889306494
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,5,8,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8759231228291732
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,5,10,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8798990236153552
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,5,12,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8778025087271903
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,6,0.5,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8697502241941719
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,6,1,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8697119834950288
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,6,2,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8692856999751948
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,6,4,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8716475271344276
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,6,6,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8707751089229379
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,6,8,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8704703798387801
