base_score,booster,colsample_bylevel,colsample_bytree,eta,eval_metric,gamma,learning_rate,max_delta_step,max_depth,min_child_weight,missing,n_estimators,nthread,objective,reg_alpha,reg_lambda,scale_pos_weight,seed,silent,subsample,verbosity,pca_components,model,auc
0.5,gbtree,1,0.9,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.5,0,200,testtest.model,0.8653400756252145
0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.5,0,200,testtest.model,0.865317889221365
0.5,gbtree,1,0.5,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.7,0,200,testtest.model,0.8652877079620147
0.5,gbtree,1,0.7,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.7,0,200,testtest.model,0.8654462556002485
0.5,gbtree,1,0.9,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.7,0,200,testtest.model,0.8655291138475649
0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.7,0,200,testtest.model,0.864906935972921
0.5,gbtree,1,0.5,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.9,0,200,testtest.model,0.8652442019434962
0.5,gbtree,1,0.7,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.9,0,200,testtest.model,0.8655241476554363
0.5,gbtree,1,0.9,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.9,0,200,testtest.model,0.8649611289921599
0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.9,0,200,testtest.model,0.8652643046541392
0.5,gbtree,1,0.5,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,1.0,0,200,testtest.model,0.8652305236703094
0.5,gbtree,1,0.7,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,1.0,0,200,testtest.model,0.8650472708408428
0.5,gbtree,1,0.9,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,1.0,0,200,testtest.model,0.865324905114968
0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,1.0,0,200,testtest.model,0.8656216393436248
0.5,gbtree,1,0.6,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.4,0,200,sample_exact.model,0.8653598248218387
0.5,gbtree,1,0.7,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.4,0,200,sample_exact.model,0.865389040715984
